央视高清,#genre#
九画面15,http://175.152.138.149:6066/udp/239.94.2.138:5140
九画面卫视1,http://175.152.138.149:6066/udp/239.94.2.133:5140
九画面卫视1,http://175.152.138.149:6066/udp/239.94.2.132:5140
九画面卫视2,http://175.152.138.149:6066/udp/239.94.2.134:5140
九画面卫视2,http://175.152.138.149:6066/udp/239.94.2.135:5140
九画面卫视3,http://175.152.138.149:6066/udp/239.94.2.136:5140
九画面卫视3,http://175.152.138.149:6066/udp/239.94.2.137:5140
九画面卫视4,http://175.152.138.149:6066/udp/239.94.2.141:5140
九画面卫视4,http://175.152.138.149:6066/udp/239.94.2.139:5140
九画面卫视5,http://175.152.138.149:6066/udp/239.94.2.140:5140
九画面四川1,http://175.152.138.149:6066/udp/239.94.2.131:5140
九画面四川2,http://175.152.138.149:6066/udp/239.94.2.130:5140
九画面央视1,http://175.152.138.149:6066/udp/239.94.2.128:5140
九画面央视1,http://175.152.138.149:6066/udp/239.94.2.73:5140
九画面央视2,http://175.152.138.149:6066/udp/239.94.2.129:5140
云看熊猫专区,http://175.152.138.149:6066/udp/239.94.1.7:5140
健康养生,http://175.152.138.149:6066/udp/239.94.1.27:5140
全球大片,http://175.152.138.149:6066/udp/239.94.1.24:5140
军事专区,http://175.152.138.149:6066/udp/239.94.1.52:5140
华语影院,http://175.152.138.149:6066/udp/239.94.1.22:5140
四海钓鱼,http://175.152.138.149:6066/udp/239.94.1.168:5140
地理专区,http://175.152.138.149:6066/udp/239.94.1.54:5140
墨宝专区,http://175.152.138.149:6066/udp/239.94.1.51:5140
大爱四川专区,http://175.152.138.149:6066/udp/239.94.1.12:5140
大爱四川专区,http://175.152.138.149:6066/udp/239.94.1.13:5140
大爱四川专区,http://175.152.138.149:6066/udp/239.94.1.14:5140
大爱时尚专区,http://175.152.138.149:6066/udp/239.94.1.15:5140
宝宝动画,http://175.152.138.149:6066/udp/239.94.1.32:5140
导视,http://175.152.138.149:6066/udp/239.94.1.64:5140
少儿天地,http://175.152.138.149:6066/udp/239.94.1.138:5140
戏曲专区,http://175.152.138.149:6066/udp/239.94.1.38:5140
戏曲精选,http://175.152.138.149:6066/udp/239.94.1.37:5140
收视指南专区,http://175.152.138.149:6066/udp/239.94.1.56:5140
星光院线,http://175.152.138.149:6066/udp/239.94.1.23:5140
未知节目,http://175.152.138.149:6066/udp/239.94.2.72:5140
未识别,http://175.152.138.149:6066/udp/239.94.2.25:5140
来钓鱼吧,http://175.152.138.149:6066/udp/239.94.1.148:5140
热门剧场,http://175.152.138.149:6066/udp/239.94.1.26:5140
热门综艺,http://175.152.138.149:6066/udp/239.94.1.35:5140
爱乐山,http://175.152.138.149:6066/udp/239.94.2.2:5140
爱宠宠物,http://175.152.138.149:6066/udp/239.94.1.145:5140
电信5G,http://175.152.138.149:6066/udp/239.94.2.4:5140
电竞天堂,http://175.152.138.149:6066/udp/239.94.1.45:5140
百变课堂,http://175.152.138.149:6066/udp/239.94.1.43:5140
